Dist.(m),Target Picks Depth(m),
1.226,0.119,
1.477,0.131,
1.731,0.122,
2.243,0.120,
2.488,0.126,
2.743,0.122,
3.246,0.124,
3.748,0.112,
3.977,0.134,
4.500,0.127,
5.003,0.140,
5.268,0.114,
8.805,0.137,
9.068,0.147,
9.571,0.148,
9.834,0.157,
0.483,0.201,
0.251,0.216,
0.723,0.147,
0.983,0.142,
1.983,0.140,
3.468,0.162,
4.251,0.105,
4.754,0.107,
5.508,0.152,
5.774,0.124,
6.020,0.148,
6.274,0.115,
6.783,0.117,
7.017,0.132,
7.282,0.118,
7.537,0.138,
7.802,0.121,
8.040,0.141,
8.311,0.131,
8.565,0.159,
9.314,0.124,
10.082,0.192,
10.331,0.196,
