Dist.(m),Target Picks Depth(m),
0.720,0.141,
1.471,0.131,
1.723,0.118,
2.231,0.118,
2.483,0.128,
2.731,0.121,
3.231,0.119,
3.974,0.141,
4.485,0.129,
4.751,0.110,
5.257,0.120,
5.760,0.134,
7.005,0.150,
7.265,0.134,
7.528,0.152,
7.791,0.130,
8.034,0.154,
8.285,0.134,
8.805,0.147,
9.065,0.154,
9.320,0.149,
9.840,0.162,
0.483,0.188,
0.237,0.217,
0.966,0.151,
1.226,0.122,
1.983,0.142,
3.463,0.164,
3.743,0.115,
4.237,0.101,
4.983,0.151,
5.505,0.171,
6.008,0.165,
6.265,0.121,
6.768,0.130,
8.568,0.165,
9.571,0.182,
10.079,0.188,
10.337,0.193,
