Dist.(m),Target Picks Depth(m),
1.229,0.120,
1.480,0.128,
1.728,0.121,
2.243,0.119,
2.494,0.122,
2.743,0.121,
0.714,0.149,
0.983,0.140,
0.471,0.202,
1.986,0.138,
3.246,0.124,
3.474,0.163,
3.743,0.114,
3.974,0.138,
4.248,0.110,
4.494,0.128,
4.743,0.117,
5.003,0.137,
5.283,0.123,
5.511,0.160,
5.765,0.130,
6.023,0.151,
6.277,0.115,
6.783,0.121,
7.014,0.134,
7.282,0.118,
7.534,0.143,
7.797,0.123,
8.034,0.141,
8.300,0.134,
8.800,0.140,
9.065,0.149,
9.308,0.125,
9.565,0.150,
9.825,0.155,
10.085,0.195,
10.334,0.197,
8.562,0.163,
0.249,0.221,
