Dist.(m),Target Picks Depth(m),
1.226,0.115,
1.474,0.127,
1.731,0.121,
2.248,0.120,
2.488,0.122,
2.740,0.122,
3.248,0.122,
3.748,0.110,
3.974,0.133,
4.494,0.124,
5.008,0.135,
5.268,0.114,
5.783,0.122,
7.023,0.129,
7.288,0.115,
8.040,0.138,
8.300,0.128,
8.805,0.135,
9.311,0.122,
0.260,0.217,
0.480,0.202,
0.720,0.145,
0.983,0.140,
1.983,0.137,
3.474,0.162,
4.251,0.106,
4.751,0.104,
5.517,0.147,
6.020,0.146,
6.277,0.113,
6.788,0.115,
7.534,0.136,
7.800,0.118,
8.568,0.158,
9.060,0.143,
9.568,0.145,
9.834,0.153,
10.085,0.191,
10.328,0.195,
