Dist.(m),Target Picks Depth(m),
0.714,0.142,
0.966,0.150,
1.223,0.122,
1.474,0.131,
2.231,0.118,
2.483,0.129,
2.726,0.121,
3.243,0.120,
3.971,0.141,
4.488,0.130,
5.257,0.118,
5.768,0.132,
6.265,0.121,
6.774,0.128,
7.788,0.128,
8.282,0.134,
0.231,0.221,
0.471,0.189,
1.726,0.119,
1.980,0.144,
3.468,0.163,
3.737,0.115,
4.243,0.104,
4.991,0.150,
4.748,0.109,
5.514,0.168,
6.014,0.162,
7.008,0.148,
7.268,0.133,
7.525,0.150,
8.034,0.153,
8.565,0.165,
8.808,0.147,
9.060,0.154,
9.314,0.146,
9.840,0.162,
9.568,0.177,
10.082,0.190,
10.339,0.195,
