"date","Owners","event","link","color","Price","val3"
"2019-10-18","5070000","","","","19.99",""
"2019-10-19","5069000","","","","19.99",""
"2019-10-20","5070000","","","#2B6A94","19.99",""
"2019-10-21","5072000","","","","19.99",""
"2019-10-22","5072000","","","","19.99",""
"2019-10-23","5073000","","","","19.99",""
"2019-10-24","5072000","","","","19.99",""
"2019-10-25","5072000","","","","19.99",""
"2019-10-26","5072000","","","","19.99",""
"2019-10-27","5070000","","","#2B6A94","19.99",""
"2019-10-28","5070000","","","","19.99",""
"2019-10-29","5070000","","","","6.59",""
"2019-10-30","5072000","","","","6.59",""
"2019-10-31","5072000","","","","6.59",""
"2019-11-01","5068000","","","","6.59",""
"2019-11-02","5062000","","","","19.99",""
"2019-11-03","5062000","","","#2B6A94","19.99",""
"2019-11-04","5068000","","","","19.99",""
"2019-11-05","5068000","","","","19.99",""
"2019-11-06","5071000","","","","6.59",""
"2019-11-07","5065000","","","","6.59",""
"2019-11-08","5061000","","","","6.59",""
"2019-11-09","5058000","","","","6.59",""
"2019-11-10","5056000","","","#2B6A94","6.59",""
"2019-11-11","5057000","","","","6.59",""
"2019-11-12","5062000","","","","6.59",""
"2019-11-13","5059000","","","","6.59",""
"2019-11-14","5059000","","","","6.59",""
"2019-11-15","5056000","","","","6.59",""
"2019-11-16","5049000","","","","6.59",""
"2019-11-17","5042000","","","#2B6A94","6.59",""
"2019-11-18","5047000","","","","6.59",""
"2019-11-19","5046000","","","","6.59",""
"2019-11-20","5047000","","","","6.59",""
"2019-11-21","5049000","","","","6.59",""
"2019-11-22","5051000","","","","6.59",""
"2019-11-23","5047000","","","","6.59",""
"2019-11-24","5044000","","","#2B6A94","19.99",""
"2019-11-25","5051000","","","","19.99",""
"2019-11-26","5052000","","","","19.99",""
"2019-11-27","333000","","","","4.99",""
"2019-11-28","1252000","","","","4.99",""
"2019-11-29","5039000","","","","4.99",""
"2019-11-30","5038000","","","","4.99",""
"2019-12-01","5035000","","","#2B6A94","4.99",""
"2019-12-02","5035000","","","","4.99",""
"2019-12-03","5032000","","","","4.99",""
"2019-12-04","5033000","","","","4.99",""
"2019-12-05","5032000","","","","4.99",""
"2019-12-06","5032000","","","","19.99",""
"2019-12-07","5029000","","","","19.99",""
"2019-12-08","5033000","","","#2B6A94","19.99",""
"2019-12-09","5034000","","","","19.99",""
"2019-12-10","5035000","","","","19.99",""
"2019-12-11","5034000","","","","19.99",""
"2019-12-12","5034000","","","","19.99",""
"2019-12-13","5029000","","","","19.99",""
"2019-12-14","5027000","","","","19.99",""
"2019-12-15","5025000","","","#2B6A94","19.99",""
"2019-12-16","5028000","","","","19.99",""
"2019-12-17","5033000","","","","19.99",""
"2019-12-18","5033000","","","","19.99",""
"2019-12-19","5034000","","","","19.99",""
"2019-12-20","5032000","","","","19.99",""
"2019-12-21","5029000","","","","19.99",""
"2019-12-22","5024000","","","#2B6A94","19.99",""
"2019-12-23","5025000","","","","19.99",""
"2019-12-24","5026000","","","","19.99",""
"2019-12-25","5027000","","","","19.99",""
"2019-12-26","5023000","","","","19.99",""
"2019-12-27","5021000","","","","4.99",""
"2019-12-28","5018000","","","","4.99",""
"2019-12-29","5017000","","","#2B6A94","4.99",""
"2019-12-30","5017000","","","","4.99",""
"2019-12-31","5018000","","","","4.99",""
"2020-01-01","5012000","","","","4.99",""
"2020-01-02","5009000","","","","4.99",""
"2020-01-03","5008000","","","","4.99",""
"2020-01-04","5005000","","","","19.99",""
"2020-01-05","5007000","","","#2B6A94","19.99",""
"2020-01-06","5007000","","","","19.99",""
"2020-01-07","5007000","","","","19.99",""
"2020-01-08","5010000","","","","19.99",""
"2020-01-09","5010000","","","","19.99",""
"2020-01-10","5009000","","","","19.99",""
"2020-01-11","5005000","","","","19.99",""
"2020-01-12","5006000","","","#2B6A94","19.99",""
"2020-01-13","5006000","","","","19.99",""
"2020-01-14","5007000","","","","19.99",""
"2020-01-15","4929000","","","","19.99",""
"2020-01-16","4928000","","","","19.99",""
"2020-01-17","4927000","","","","19.99",""
"2020-01-18","4845000","","","","19.99",""
"2020-01-19","4846000","","","#2B6A94","19.99",""
"2020-01-20","4770000","","","","19.99",""
"2020-01-21","4772000","","","","19.99",""
"2020-01-22","4690000","","","","19.99",""
"2020-01-23","4572000","","","","4.99",""
"2020-01-24","4571000","","","","4.99",""
"2020-01-25","4571000","","","","4.99",""
"2020-01-26","4567000","","","#2B6A94","4.99",""
"2020-01-27","4491000","","","","4.99",""
"2020-01-28","4415000","","","","4.99",""
"2020-01-29","4415000","","","","4.99",""
